inventory_id,official_source_document,source_locator,activity_category,activity_name,zone_name,legal_spatial_definition,coordinates_present,geometry_format,crs_status,capacity_limit,permitted_time_slot,special_restrictions_and_prohibitions,usability_decision,why_not_a_dive_site,reviewed_at
ktnp-zone-011,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點06-雷打石,雷打石已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-012,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點07-出水口一線天,出水口一線天已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-013,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點08-出水口,出水口已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-014,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點09-後壁湖軟珊瑚區,後壁湖軟珊瑚區已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-015,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點10-獨立礁,獨立礁已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-016,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點11-雙峰藍洞,雙峰藍洞已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-017,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點12-大咾咕斜坡,大咾咕斜坡已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-018,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點13-小咾咕斷層,小咾咕斷層已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-019,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點14-南灣三腳町,南灣三腳町已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-020,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點15-眺石,眺石已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-021,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第二類活動：水面休閒活動,遊艇(快艇),海域遊艇航行開放區,全部海域除進出港外，活動範圍為距岸300公尺外,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,110艘(後壁湖遊艇港席位),白天至晚上22:00(夜航須專案申請),經營業者應合法登記；距岸300公尺以內為禁止活動緩衝區,management_background_only,屬船舶航行分區與席位管制，非潛點,2026-09-25T00:20:00+08:00
ktnp-zone-022,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第三類活動：動力水上活動,水上摩托車,南灣-船帆石-後壁湖動力水上活動分區,貓鼻頭與鵝鑾鼻岬角連線以北水域，距岸300公尺外但不得超過1公里；及白砂距岸300m~1km,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,白砂6部、南灣60部、船帆石20部、後壁湖10部，共96部,白天(日出至日落),活動範圍距岸300米外；南灣左側為動力航道，嚴禁與非動力/潛水混合,management_background_only,屬高速動力載具專屬航道與活動緩衝區，與潛水活動存在直接人身碰撞危險，絕非潛點,2026-09-25T00:20:00+08:00
ktnp-zone-023,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第四類活動：非動力水上活動,游泳,海域一般管制區/遊憩區游泳分區,海域一般管制區、遊憩區距岸200公尺內為活動範圍(大灣遊憩區除外),False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),大灣遊憩區除外禁止；港區航道及警告標示禁止區域仍禁止,management_background_only,屬沿岸200米通則性水域活動開放邊界，非潛點,2026-09-25T00:20:00+08:00
ktnp-zone-024,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第四類活動：非動力水上活動,衝浪板,沿海衝浪活動建議區(白砂、南灣、大灣、風吹砂、港口),海域一般管制區、遊憩區距岸200公尺內為活動範圍；建議白砂、南灣、大灣、風吹砂、港口等水域,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),經營業者應合法登記；距岸200米內,management_background_only,屬水面浪區非動力衝浪活動分區，非水下潛點,2026-09-25T00:20:00+08:00
ktnp-zone-025,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第四類活動：非動力水上活動,獨木舟/立式划槳(SUP),沿海獨木舟與SUP開放分區(後灣、萬里桐、後壁湖、南灣、船帆石、港口溪、白砂、小灣),後灣、萬里桐、後壁湖(航道東側潟湖區、出水口西側)、南灣、船帆石、港口溪及出海口、白砂、小灣等處距岸200公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落；港口溪10月份限8時至12時),出水口西側7、8、9月份禁止開放；南灣僅開放沙灘右側300米(左側為動力航道)；港口溪指由出海口往上游800公尺,management_background_only,屬特定水面無動力浮具活動範圍，含河口與潟湖管制時段，非水下潛水點位,2026-09-25T00:20:00+08:00
