dataset_id,file_identifier,expected_path,exists,expected_sha256,expected_size_bytes,required_for,source_url,acquisition_method,license_or_retrieval_limit,recovery_type,safe_verification,missing_impact
cmas_tw_snorkeling,cmas_tw_snorkeling_essentials.html,data/raw/external/cmas_tw_snorkeling_essentials.html,yes,fa277980c438f985fcc1688117e13b22774677c473ffee21d70039ee347a9008,,fts,https://www.cmas.tw/modules/neilmfdcms/mfdcmscenter.php?centerid=133,web-download,webpage snapshot; do not republish without permission,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
cmas_tw_training,cmas_tw_training_requirements.html,data/raw/external/cmas_tw_training_requirements.html,yes,5ea3e5354b42254f55e4bcfcdb64aa3b8c63a1c92279d618cdb832f0e74e930c,,fts,https://www.cmas.tw/modules/neilmfdcms/mfdcmscenter.php?centerid=131,web-download,webpage snapshot; do not republish without permission,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
iai_tutorial,iai_connection_tutorial.txt,data/raw/external/iai_connection_tutorial.txt,yes,298546461c5803b7e54a4c9025ad4fc15b46315f104c397bab99a4c36cec4a07,,fts,https://docs.google.com/document/d/1BaG1DVN6YbeyDoT4Z0uw_ocCa71txZB-fNgA4LZ0Cso/edit,public-document-export,user-provided link; do not redistribute without permission,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
mpa_certification_reference,mpa_diver_certification_reference.pdf,data/raw/external/mpa_diver_certification_reference.pdf,yes,e0b369832ce9afe04e51cedab728f7fb12b95384af9ab008804fef8feaa4eb4d,,fts,https://mpa.oca.gov.tw/Files/Knowledge/8348bde932804901a2655e6f333ff739.pdf,web-download,verify source report and reuse terms before publication,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
cmas_instructor_manual_2023,CMAS教練手冊2023中文版.pdf,data/raw/provided/CMAS教練手冊2023中文版.pdf,yes,ec68ca2a61e9101f03ba1c76678fd56585ede7d4a60b59d97a0ed2131a3beccf,,fts,,user-provided,user-provided; verify CMAS copyright and redistribution permission before publication,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
untracked_manifest_entry,海保署證照等級參考原始下載.pdf,data/raw/provided/海保署證照等級參考原始下載.pdf,yes,e0b369832ce9afe04e51cedab728f7fb12b95384af9ab008804fef8feaa4eb4d,,fts,,user-provided-duplicate-of-public-download,manifest provenance only; source terms need confirmation,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
mpa_boundaries_wfs,taiwan_mpa_boundaries_wgs84.geojson,data/raw/external/mpa/taiwan_mpa_boundaries_wgs84.geojson,yes,71a143616ddf9fbb469872d320011e99cc258a576542a03008f7b233ba8e4b88,,structured,https://mpa.oca.gov.tw/geoserver/mpa/ows?service=WFS&version=2.0.0&request=GetFeature&typeNames=mpa:map_protected_area&outputFormat=application%2Fjson&srsName=EPSG%3A4326,official-wfs-download,official service; verify terms before redistribution,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,MPA boundary structured table
mpa_legal_framework,mpa_legal_framework.html,data/raw/external/mpa/mpa_legal_framework.html,yes,a0fb5ca52da55e092c516af0dea786764f01de683c77adaf70e2d00bd25ac0c6,,fts,https://mpa.oca.gov.tw/ProtectedManageAffair.aspx,official-webpage-snapshot,link and cite; verify before republication,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,MPA boundary structured table
oca_edna,edna_diving_110_113.csv,data/raw/external/edna/edna_diving_110_113.csv,yes,747b1fca9f87e152f896e6cf29f868719902e12eae8be19f89c0ce0b823e777b,,structured,https://data.gov.tw/en/datasets/172487,official-open-data-download,OGL 1.0 as stated by the dataset portal; retain attribution and source metadata,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,historical eDNA API and iAI eDNA context
oca_edna,edna_diving_110_113.json,data/raw/external/edna/edna_diving_110_113.json,yes,10ff14d906e9f45e07c9f66a0bee3f4581f426153c947e0462f625c3dfc751ba,,not_required_for_current_build,https://data.gov.tw/en/datasets/172487,official-open-data-download-duplicate-format,OGL 1.0 as stated by the dataset portal; retain attribution and source metadata,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,historical eDNA API and iAI eDNA context
oca_edna,edna_ship_110_112.csv,data/raw/external/edna/edna_ship_110_112.csv,yes,b5b3663544bb931c79e4379c2577cca87def064b339c54a88e3d4724cad59426,,structured,https://data.gov.tw/en/datasets/172487,official-open-data-download,OGL 1.0 as stated by the dataset portal; retain attribution and source metadata,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,historical eDNA API and iAI eDNA context
oca_edna,edna_protected_area_110_113.json,data/raw/external/edna/edna_protected_area_110_113.json,yes,99398600558a36a104253d15d9208bc1bcd81295066399ef69e8f2748bb544ca,,structured,https://data.gov.tw/en/datasets/172487,official-open-data-download,OGL 1.0 as stated by the dataset portal; retain attribution and source metadata,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,historical eDNA API and iAI eDNA context
taibif_reefcheck,reefcheck_taiwan_dwca.zip,data/raw/external/reference/reefcheck_taiwan_dwca.zip,yes,bb383b475c76954047a93f3c28b66b87a6fc3fd689b802b1917ae4b0c8122795,,structured,https://ipt.taibif.tw/resource?r=reefchecktaiwan,TaiBIF-download-CC-BY-NC-4.0,CC BY-NC 4.0; not for commercial reuse without permission,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,Reef Check structured evidence only; excluded from current chat context
taibif_reefcheck,reefcheck_taiwan_metadata.xml,data/raw/external/reference/reefcheck_taiwan_metadata.xml,yes,aa701e478210e0d88351106ea24f9840fb264f78a47da3cd660ee9c505aa1bca,,not_required_for_current_build,https://ipt.taibif.tw/resource?r=reefchecktaiwan,TaiBIF-download-CC-BY-NC-4.0,CC BY-NC 4.0; not for commercial reuse without permission,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,Reef Check structured evidence only; excluded from current chat context
south_sea_biodiversity_report,south_sea_biodiversity_survey_report.pdf,data/raw/external/reference/south_sea_biodiversity_survey_report.pdf,yes,ccb9e9452d1629cf0b518821e37da4c9baf6b01285e8e69b21d5944e22580ea7,,fts,https://mpa.oca.gov.tw/Files/Knowledge/f3b99c82a5a04d7b81fef7b646d13803.pdf,official-public-download,verify report reuse terms before publication,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
kenting_prohibitions,kenting_current_prohibitions.html,data/raw/external/kenting_current_prohibitions.html,yes,a91c6e364b8d059ca88ea7fdf1db54bed4eaee22ede2925a194925490c70f7b6,,fts,https://www.ktnp.gov.tw/cp.aspx?n=a19bc236dae01941&s=12AED0688767E7CF,official-webpage-snapshot,link and cite; verify source and effective date before operational use,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
kenting_water_recreation_plan,kenting_current_water_recreation_plan.html,data/raw/external/kenting_current_water_recreation_plan.html,yes,27e5d363c2c1bc1fbff0c1548d6de8b6ce967c1766fc036ca1ec969e21b671aa,,fts,https://www.ktnp.gov.tw/cp.aspx?n=FA9BBE6DDF732116&s=D2B8BE05FF169D0B,official-webpage-snapshot,link and cite; verify source and effective date before republication,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
kenting_houbihu_prohibition,kenting_houbihu_freediving_prohibition.html,data/raw/external/kenting_houbihu_freediving_prohibition.html,yes,e36b05f78821ed7604a7b27b7b9fdfdf6cea52190573c15d2f9580e635b55e3e,,fts,https://www.ktnp.gov.tw/News_Content4.aspx?n=3D7C9BFC4F86BF4A&s=5CB2BE4BA6514BA8&sms=CBE2AF4E776CBCD5,official-webpage-snapshot,link and cite; do not treat as a nationwide rule,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
cwa_tide,F-A0021-001_20260918T085121Z.json,data/raw/external/cwa/F-A0021-001_20260918T085121Z.json,yes,99e53f0324001e28f73226ccd7c6b9e1f8d1860e4f2950af6c99c069870117c3,,structured,https://opendata.cwa.gov.tw/dataset/forecast/F-A0021-001,official-authenticated-download,requires the user's CWA authorization code for download,requires_authorized_local_restore,SHA-256 against raw_file_manifest.tsv,authorized local tide research tables; no public tide feature
cwa_tide,F-A0021-001_20260918T085121Z.provenance.json,data/raw/external/cwa/F-A0021-001_20260918T085121Z.provenance.json,yes,90bc123a9d01e580736729eb919b540616f257e7dad0ae22e0a052ed42a3109c,,structured,https://opendata.cwa.gov.tw/dataset/forecast/F-A0021-001,derived-provenance-without-authorization-code,requires the user's CWA authorization code for download,requires_authorized_local_restore,SHA-256 against raw_file_manifest.tsv,authorized local tide research tables; no public tide feature
cwa_marine_wave_current,M-B0078-001_20260918T171538+0800.json,data/raw/external/cwa/M-B0078-001_20260918T171538+0800.json,yes,4845b923357ac8f20dcf10f5b65ba0c95805a7db3f80f12370aebfef35e3cb12,,structured,https://cwaopendata.s3.ap-northeast-1.amazonaws.com/Model/M-B0078-001.json,user-provided-official-download,requires the user's CWA authorization code for download,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,CWA marine-forecast structured tables; current coverage remains conservative
tourism_attraction_open_data,Attraction-json_20260918.zip,data/raw/external/tourism/Attraction-json_20260918.zip,yes,0d9421df5fd44674f387f117ed7be7450e91fae6d1548353913e60285137f404,,not_required_for_current_build,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip,official-open-data-download-OGL-1.0,OGL 1.0 as stated by the Tourism Administration portal; retain the required attribution statement and source metadata,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,no current structured or FTS build dependency
tourism_attraction_open_data,tourism_data_standard_v2.1_20260918.pdf,data/raw/external/tourism/tourism_data_standard_v2.1_20260918.pdf,yes,e212394b7f980ff9ccbcf8af37e3caa7588ad817360736d9bd275befb174e795,,fts,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip,official-standard-document,OGL 1.0 as stated by the Tourism Administration portal; retain the required attribution statement and source metadata,public_redownload_possible,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
curated_dive_sites,dive_sites.csv,data/curated/dive_sites.csv,yes,,,structured,,"manual, source-verified curation",retain per-row official Tourism Administration source reference and OGL attribution,requires_user_source_confirmation,CSV schema and source-reference validation; no raw hash is recorded,"dive-site API, map, eDNA and weather query prerequisites, iAI pilot context"
taibif_reefcheck_extracted_dwca,event.txt + occurrence.txt,data/raw/external/reference/reefcheck_taiwan_dwca/,yes,,,structured,https://ipt.taibif.tw/resource?r=reefchecktaiwan,authorized extraction from the manifest-listed Darwin Core Archive,CC BY-NC 4.0; archive extraction must be restored by the user during an approved maintenance workflow,requires_user_source_confirmation,"verify the archive SHA-256 first, then confirm event.txt and occurrence.txt are present; this CLI does not extract archives",Reef Check structured evidence only; excluded from current chat context
