assessment_date,source_id,source_name,provider,official_product_url,public_catalog_url,data_type,available_fields,units_or_direction,time_resolution_and_update,source_time_fields,geographic_representation,license_and_public_reuse,access_or_rate_note,dive_site_id,dive_site_name,site_county,site_district,nearest_station_grid_or_region,distance_m,coverage_relation,meets_spatial_representativeness,public_use_status,conclusion,risks_and_required_manual_check
2026-09-19,cwa_township_weather_3day,"鄉鎮天氣預報－臺東縣／澎湖縣未來 3 天（F-D0047-037；F-D0047-045）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/all/F-D0047-037,https://data.gov.tw/dataset/9281,"行政區一般天氣預報（非海況、非現地觀測）","開始／結束時間、位置名稱／座標、氣溫、相對濕度、降水機率、風速、天氣現象等","°C、%、%、m/s 等；以各列 unit 為準","預報資料；政府資料開放平臺標示每 6 小時更新","IssueTime（部分產品列出）、StartTime、EndTime；實作時須拒絕無時區或缺發布時間的資料","鄉鎮行政區預報位置；不是海上格點、潛點或測站","政府資料開放授權條款第 1 版；產品公開時保留中央氣象署、資料集名稱、授權版本與時間","免費；政府資料開放平臺頁面指向 CWA API／JSON，實作前遵循當期服務規範與速率限制",tourism-attraction-376540000a-000365,石朗潛水區,臺東縣,綠島鄉,"臺東縣綠島鄉（既有官方 district 欄位對應；需在實作時以資料列 LocationName 再核對）",,"行政區相同；不是最近海上站點距離",yes_for_administrative_weather_only,"可公開候選","可用於日後的『綠島鄉一般天氣預報』","不得稱為潛點天氣或海況；每次擷取必須以正式列確認 LocationName、座標、IssueTime、StartTime／EndTime。"
2026-09-19,cwa_township_weather_3day,"鄉鎮天氣預報－臺東縣／澎湖縣未來 3 天（F-D0047-037；F-D0047-045）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/all/F-D0047-037,https://data.gov.tw/dataset/9281,"行政區一般天氣預報（非海況、非現地觀測）","開始／結束時間、位置名稱／座標、氣溫、相對濕度、降水機率、風速、天氣現象等","°C、%、%、m/s 等；以各列 unit 為準","預報資料；政府資料開放平臺標示每 6 小時更新","IssueTime（部分產品列出）、StartTime、EndTime；實作時須拒絕無時區或缺發布時間的資料","鄉鎮行政區預報位置；不是海上格點、潛點或測站","政府資料開放授權條款第 1 版；產品公開時保留中央氣象署、資料集名稱、授權版本與時間","免費；政府資料開放平臺頁面指向 CWA API／JSON，實作前遵循當期服務規範與速率限制",tourism-attraction-376540000a-000367,綠島南寮漁港,臺東縣,綠島鄉,"臺東縣綠島鄉（既有官方 district 欄位對應；需在實作時以資料列 LocationName 再核對）",,"行政區相同；不是最近海上站點距離",yes_for_administrative_weather_only,"可公開候選","可用於日後的『綠島鄉一般天氣預報』","同上。"
2026-09-19,cwa_township_weather_3day,"鄉鎮天氣預報－臺東縣／澎湖縣未來 3 天（F-D0047-037；F-D0047-045）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/all/F-D0047-037,https://data.gov.tw/dataset/9281,"行政區一般天氣預報（非海況、非現地觀測）","開始／結束時間、位置名稱／座標、氣溫、相對濕度、降水機率、風速、天氣現象等","°C、%、%、m/s 等；以各列 unit 為準","預報資料；政府資料開放平臺標示每 6 小時更新","IssueTime（部分產品列出）、StartTime、EndTime；實作時須拒絕無時區或缺發布時間的資料","鄉鎮行政區預報位置；不是海上格點、潛點或測站","政府資料開放授權條款第 1 版；產品公開時保留中央氣象署、資料集名稱、授權版本與時間","免費；政府資料開放平臺頁面指向 CWA API／JSON，實作前遵循當期服務規範與速率限制",tourism-attraction-376540000a-000478,柴口浮潛區,臺東縣,綠島鄉,"臺東縣綠島鄉（既有官方 district 欄位對應；需在實作時以資料列 LocationName 再核對）",,"行政區相同；不是最近海上站點距離",yes_for_administrative_weather_only,"可公開候選","可用於日後的『綠島鄉一般天氣預報』","同上。"
2026-09-19,cwa_township_weather_3day,"鄉鎮天氣預報－臺東縣／澎湖縣未來 3 天（F-D0047-037；F-D0047-045）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/all/F-D0047-037,https://data.gov.tw/dataset/9281,"行政區一般天氣預報（非海況、非現地觀測）","開始／結束時間、位置名稱／座標、氣溫、相對濕度、降水機率、風速、天氣現象等","°C、%、%、m/s 等；以各列 unit 為準","預報資料；政府資料開放平臺標示每 6 小時更新","IssueTime（部分產品列出）、StartTime、EndTime；實作時須拒絕無時區或缺發布時間的資料","鄉鎮行政區預報位置；不是海上格點、潛點或測站","政府資料開放授權條款第 1 版；產品公開時保留中央氣象署、資料集名稱、授權版本與時間","免費；政府資料開放平臺頁面指向 CWA API／JSON，實作前遵循當期服務規範與速率限制",tourism-attraction-a15010100h-000067,大白沙,臺東縣,綠島鄉,"臺東縣綠島鄉（既有官方 district 欄位對應；需在實作時以資料列 LocationName 再核對）",,"行政區相同；不是最近海上站點距離",yes_for_administrative_weather_only,"可公開候選","可用於日後的『綠島鄉一般天氣預報』","同上。"
2026-09-19,cwa_township_weather_3day,"鄉鎮天氣預報－臺東縣／澎湖縣未來 3 天（F-D0047-037；F-D0047-045）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/all/F-D0047-045,https://data.gov.tw/dataset/9285,"行政區一般天氣預報（非海況、非現地觀測）","開始／結束時間、位置名稱／座標、氣溫、相對濕度、降水機率、風速、天氣現象等","°C、%、%、m/s 等；以各列 unit 為準","預報資料；政府資料開放平臺標示每 6 小時更新","IssueTime（部分產品列出）、StartTime、EndTime；實作時須拒絕無時區或缺發布時間的資料","鄉鎮行政區預報位置；不是海上格點、潛點或測站","政府資料開放授權條款第 1 版；產品公開時保留中央氣象署、資料集名稱、授權版本與時間","免費；政府資料開放平臺頁面指向 CWA API／JSON，實作前遵循當期服務規範與速率限制",tourism-attraction-a15010200h-000004,險礁嶼,澎湖縣,白沙鄉,"澎湖縣白沙鄉（既有官方 district 欄位對應；需在實作時以資料列 LocationName 再核對）",,"行政區相同；不是最近海上站點距離",yes_for_administrative_weather_only,"可公開候選","可用於日後的『白沙鄉一般天氣預報』","同上。"
2026-09-19,cwa_marine_area_weather,"海上天氣預報（F-A0012-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,"海域區域一般預報（非現地觀測）","天氣現象、風向、風速、浪高、海況類型、開始／結束時間、海域名稱","原始欄位單位／方向；需依實際回應核對","產品目錄標示每 6 小時更新；區域與時段依原始回應","StartTime、EndTime；發布時間須以實際回應查核","具名海域區域；本次未取得正式邊界多邊形或各代表點到區域的官方映射","本次僅查得 CWA 產品頁，未查得可支持公開 API／展示／快取／再發布的明確 OGL 條款","官方目錄下載／會員流程；本次未下載、未呼叫端點",tourism-attraction-376540000a-000365,石朗潛水區,臺東縣,綠島鄉,"未核對的官方海域區域",,"缺正式區域邊界或 site-to-region 對應",unclear,"權利與區域對應待確認","暫緩","不得以常識把綠島代表點歸入某海域名稱；需官方區域定義、資料列與公開權利佐證。"
2026-09-19,cwa_marine_area_weather,"海上天氣預報（F-A0012-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,"海域區域一般預報（非現地觀測）","天氣現象、風向、風速、浪高、海況類型、開始／結束時間、海域名稱","原始欄位單位／方向；需依實際回應核對","產品目錄標示每 6 小時更新；區域與時段依原始回應","StartTime、EndTime；發布時間須以實際回應查核","具名海域區域；本次未取得正式邊界多邊形或各代表點到區域的官方映射","本次僅查得 CWA 產品頁，未查得可支持公開 API／展示／快取／再發布的明確 OGL 條款","官方目錄下載／會員流程；本次未下載、未呼叫端點",tourism-attraction-376540000a-000367,綠島南寮漁港,臺東縣,綠島鄉,"未核對的官方海域區域",,"同上",unclear,"權利與區域對應待確認","暫緩","同上。"
2026-09-19,cwa_marine_area_weather,"海上天氣預報（F-A0012-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,"海域區域一般預報（非現地觀測）","天氣現象、風向、風速、浪高、海況類型、開始／結束時間、海域名稱","原始欄位單位／方向；需依實際回應核對","產品目錄標示每 6 小時更新；區域與時段依原始回應","StartTime、EndTime；發布時間須以實際回應查核","具名海域區域；本次未取得正式邊界多邊形或各代表點到區域的官方映射","本次僅查得 CWA 產品頁，未查得可支持公開 API／展示／快取／再發布的明確 OGL 條款","官方目錄下載／會員流程；本次未下載、未呼叫端點",tourism-attraction-376540000a-000478,柴口浮潛區,臺東縣,綠島鄉,"未核對的官方海域區域",,"同上",unclear,"權利與區域對應待確認","暫緩","同上。"
2026-09-19,cwa_marine_area_weather,"海上天氣預報（F-A0012-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,"海域區域一般預報（非現地觀測）","天氣現象、風向、風速、浪高、海況類型、開始／結束時間、海域名稱","原始欄位單位／方向；需依實際回應核對","產品目錄標示每 6 小時更新；區域與時段依原始回應","StartTime、EndTime；發布時間須以實際回應查核","具名海域區域；本次未取得正式邊界多邊形或各代表點到區域的官方映射","本次僅查得 CWA 產品頁，未查得可支持公開 API／展示／快取／再發布的明確 OGL 條款","官方目錄下載／會員流程；本次未下載、未呼叫端點",tourism-attraction-a15010100h-000067,大白沙,臺東縣,綠島鄉,"未核對的官方海域區域",,"同上",unclear,"權利與區域對應待確認","暫緩","同上。"
2026-09-19,cwa_marine_area_weather,"海上天氣預報（F-A0012-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,https://opendata.cwa.gov.tw/dataset/forecast/F-A0012-001,"海域區域一般預報（非現地觀測）","天氣現象、風向、風速、浪高、海況類型、開始／結束時間、海域名稱","原始欄位單位／方向；需依實際回應核對","產品目錄標示每 6 小時更新；區域與時段依原始回應","StartTime、EndTime；發布時間須以實際回應查核","具名海域區域；本次未取得正式邊界多邊形或各代表點到區域的官方映射","本次僅查得 CWA 產品頁，未查得可支持公開 API／展示／快取／再發布的明確 OGL 條款","官方目錄下載／會員流程；本次未下載、未呼叫端點",tourism-attraction-a15010200h-000004,險礁嶼,澎湖縣,白沙鄉,"未核對的官方海域區域",,"同上",unclear,"權利與區域對應待確認","暫緩","同上。"
