candidate_id,site_id,site_name,evidence_type,taxon_scientific_name,taxon_chinese_name,taxon_group,survey_method,record_date,original_station_or_locality,original_latitude,original_longitude,distance_m,source_name,source_dataset_id,source_url,license_name,license_status,decision,justification
CAND-CK-RC-01,tourism-attraction-376540000a-000478,柴口浮潛區,historical_visual_survey,Chaetodontidae,蝶魚科,魚類,Reef Check 水下穿越線目視計數 (Belt Transect),2018-04-23,柴口(Chaikou),22.677589,121.481543,118.7,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Chaikou_deep_0-20,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點代表點 118.7m；具明確目視指標計數紀錄。僅限非商業研究模式，且不得宣稱為現況。
CAND-CK-RC-02,tourism-attraction-376540000a-000478,柴口浮潛區,historical_visual_survey,Lutjanidae,笛鯛科,魚類,Reef Check 水下穿越線目視計數,2018-04-23,柴口(Chaikou),22.677589,121.481543,118.7,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Chaikou_shallow_25-45,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點 118.7m。歷史目視調查紀錄，受 CC BY-NC 4.0 約束。
CAND-CK-RC-03,tourism-attraction-376540000a-000478,柴口浮潛區,historical_visual_survey,Tridacna sp.,砗磲貝屬,無脊椎動物,Reef Check 水下穿越線無脊椎計數,2018-04-23,柴口(Chaikou),22.677589,121.481543,118.7,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Chaikou_deep_25-45,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,距潛點 118.7m 之無脊椎穿越線紀錄；非商業研究模式，不保證現地可見。
CAND-CK-RC-04,tourism-attraction-376540000a-000478,柴口浮潛區,historical_visual_survey,Scleractinia (hard coral),硬珊瑚/石珊瑚覆蓋度,珊瑚,Reef Check 點截線底質覆蓋度調查 (Point Intercept Transect),2008-07-28,柴口(Chaikou),22.677589,121.481543,118.7,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:measurementorfact.txt,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,距潛點 118.7m 測線之硬珊瑚覆蓋度 (30.0%–52.5%)；歷史群落底質數據，不得表述為目前現況。
CAND-CK-EDNA-01,tourism-attraction-376540000a-000478,柴口浮潛區,environmental_dna,Abudefduf septemfasciatus,七帶豆娘魚,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2024-06-07,ChaiK,22.6775,121.48222,48.8,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:ChaiK,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,採樣點距潛點僅 48.8m；為近期水樣 DNA 訊號。不可冒稱為肉眼必然可見。
CAND-CK-EDNA-02,tourism-attraction-376540000a-000478,柴口浮潛區,environmental_dna,Acanthurus nigrofuscus,褐斑刺尾鯛,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2022-06-27,TRM53,22.678983,121.47965,357.8,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:TRM53,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,採樣點距潛點 357.8m；水體環境 DNA 檢出分子訊號。
CAND-CK-IMG-01,tourism-attraction-376540000a-000478,柴口浮潛區,monitoring_site_media,Scleractinia spp.,珊瑚礁群落 (監測站影像),珊瑚,定點水下生態攝影 (海域生態監測站),,綠島北岸(珊瑚礁),22.6772,121.4925,1007.7,國家海洋研究院 (NAMR) 海域生態監測站點圖資,海域生態監測站點/36_綠島北岸(珊瑚礁).jpg,https://nodass.namr.gov.tw/noapidata/Tile/eDNA/mecrcPoint/36_綠島北岸(珊瑚礁).jpg,著作權未確認 (版權保留),copyright_unclear_or_reserved,pending_rights_review,距潛點 1.01 km；雖位於綠島北岸同一海域，但照片著作權未明，嚴禁下載、複製或內嵌展示。
CAND-DBS-RC-01,tourism-attraction-a15010100h-000067,大白沙,historical_visual_survey,Chaetodontidae,蝶魚科,魚類,Reef Check 水下穿越線目視計數 (Belt Transect),2018-04-23,大白沙(Dabaisha),22.639209,121.491964,293.9,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Dabaisha_deep_0-20,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點 293.9m；具明確目視指標紀錄。限非商業研究模式，不得表述為現況。
CAND-DBS-RC-02,tourism-attraction-a15010100h-000067,大白沙,historical_visual_survey,Acanthaster plancii,棘冠海星/魔鬼海星,無脊椎動物,Reef Check 水下穿越線無脊椎計數,2016-08-20,大白沙(Dabaisha),22.637538,121.491055,289.0,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2016_TTLudao_Dabaisha_shallow_25-45,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點 289.0m；記錄到珊瑚天敵棘冠海星。非商業研究模式，屬歷史調查，不得表述為目前生態威脅現況。
CAND-DBS-RC-03,tourism-attraction-a15010100h-000067,大白沙,historical_visual_survey,Scleractinia (hard coral),硬珊瑚/石珊瑚覆蓋度,珊瑚,Reef Check 點截線底質覆蓋度調查 (Point Intercept Transect),2018-04-23,大白沙(Dabaisha),22.639209,121.491964,293.9,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:measurementorfact.txt,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,距潛點 293.9m 測線之硬珊瑚覆蓋度紀錄；屬歷史底質生態指標，不得表述為現況。
CAND-DBS-EDNA-01,tourism-attraction-a15010100h-000067,大白沙,environmental_dna,Calotomus carolinus,卡羅鸚鯉,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2023-07-10,DRM2,22.63748,121.4887,529.3,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:DRM2,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,採樣站距潛點 529.3m；為水體環境 DNA 檢出分子訊號。嚴禁表述為肉眼可見。
CAND-DBS-EDNA-02,tourism-attraction-a15010100h-000067,大白沙,environmental_dna,Azurina lepidolepis,細鱗光鰓雀鯛,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2022-06-30,TRM61,22.639983,121.489167,570.4,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:TRM61,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,距潛點 570.4m 採樣站之水樣 DNA 訊號。不可保證現場必然目擊。
CAND-DBS-TAX-01,tourism-attraction-a15010100h-000067,大白沙,taxonomic_catalog,Platax teira,圓眼燕魚,魚類,分類學名錄整編 (無空間座標/無調查日期),,全臺魚類分類名錄(無地名),,,,中央研究院生物多樣性研究中心 臺灣魚類資料庫,臺灣魚類資料庫.csv,https://fishdb.sinica.edu.tw/,TaiBIF / TaiCoL 授權條款待確認,pending_verification,excluded_taxonomy_only,分類名錄無點位與調查紀錄，排除作為潛點生態事實。
CAND-XJ-RC-01,tourism-attraction-a15010200h-000004,險礁嶼,historical_visual_survey,Chaetodontidae,蝶魚科,魚類,Reef Check 水下穿越線目視計數 (Belt Transect),2018-06-09,鐵砧東(TiezhenEast),23.275733,119.504939,49614.4,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_PEHWangAn_DongyupingEast_NA_25-45,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,excluded_too_distant,"最近之珊瑚礁體檢測線位於澎湖南方四島鐵砧東，距險礁嶼高達 49.6 公里 (49,614m)！兩地水文與珊瑚礁群落截然不同，絕對嚴禁冒充為險礁嶼潛點生態紀錄。"
CAND-XJ-EDNA-01,tourism-attraction-a15010200h-000004,險礁嶼,environmental_dna,Ablennes hians,扁鶴鱵,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2021-05-10,TRM33,23.71258,119.56742,4132.3,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:TRM33,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,excluded_too_distant,"最近測站 TRM33 位於吉貝外海航道，距離險礁嶼潛點達 4.13 公里 (4,132m)，超出近岸礁區水體代表半徑，無法代表險礁嶼現地生態，排除採用。"
CAND-XJ-NMMBA-01,tourism-attraction-a15010200h-000004,險礁嶼,historical_visual_survey,待確認（Excel 未解析群落）,海生中心示範海域群落,綜合,海生中心示範海域生態調查,2021-11-24,澎湖海域示範區（具體站點待確認）,,,,國立海洋生物博物館 (NMMBA) 全國海洋資料庫展示資料,110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(澎湖海域).xlsx,本機存檔（授權與站點清單待向 NMMBA 確認）,授權待確認,pending_verification,pending_missing_fields,Excel 檔案未解析經緯度與站點，且開放授權尚未向 NMMBA 確認；目前無證據支持其包含險礁嶼周邊調查，列為待審。
CAND-XJ-IMG-01,tourism-attraction-a15010200h-000004,險礁嶼,monitoring_site_media,Zostera / Halophila spp.,海草床生態群落 (監測站影像),植物/海草,定點水下生態攝影 (海域生態監測站),,澎湖本島周遭海域(海草床),23.6479,119.6048,7112.8,國家海洋研究院 (NAMR) 海域生態監測站點圖資,海域生態監測站點/40_澎湖本島周遭海域(海草床).jpg,https://nodass.namr.gov.tw/noapidata/Tile/eDNA/mecrcPoint/40_澎湖本島周遭海域(海草床).jpg,著作權未確認 (版權保留),copyright_unclear_or_reserved,pending_rights_review,距離險礁嶼 7.11 km（位於澎湖岐頭海草床）；影像著作權未確認開放，嚴禁下載、複製或內嵌。
CAND-XJ-TAX-01,tourism-attraction-a15010200h-000004,險礁嶼,taxonomic_catalog,Lethrinus nebulosus,青嘴龍占,魚類,分類學名錄整編 (無空間座標/無調查日期),,全臺魚類分類名錄(無地名),,,,中央研究院生物多樣性研究中心 臺灣魚類資料庫,臺灣魚類資料庫.csv,https://fishdb.sinica.edu.tw/,TaiBIF / TaiCoL 授權條款待確認,pending_verification,excluded_taxonomy_only,名錄無座標無日期，無法證明險礁嶼出現紀錄。
