review_id,source_row_number,original_id,original_name,raw_px,raw_py,crs_status,raw_description,raw_toldescribe_excerpt,keyword_matched,direct_dive_or_snorkel_definition,review_decision,exclusion_or_blocked_reason,reviewed_at
ntpc-rev-011,237,C1_382000000A_403517,龍門吊橋,121.93545,25.02277,unconfirmed_not_documented,顯眼的紅色橋身，連接雙溪兩岸,龍門吊橋位於龍門露營區後方，橫跨於雙溪上，紅色橋身的設計，在一片綠樹與海濱間顯十分顯目，長達200公尺的橋身，串聯福隆里與龍門里兩地，在站橋面上，可欣賞雙溪的河岸與福隆金色沙灘，不時還能見到五彩繽紛的獨木舟與SUP在河面上航行。龍門吊橋也是龍門鹽寮自行車道必經的景點，沿途可見多種濱海植物，享受海風輕拂的濱海氛圍，眺望鼻...,海濱公園,no,excluded,bridge_infrastructure_not_dive_site; 龍門吊橋為河口跨河吊橋設施，非海域潛點；且官方未載明CRS,2026-09-24
ntpc-rev-012,238,C1_382000000A_403339,鹽寮抗日紀念碑,121.92752,25.04142,unconfirmed_not_documented,1895年日軍由此地登陸臺灣，開始了臺灣的日治時代,鹽寮抗日紀念碑位於鹽寮海濱公園之中，甲午戰爭後，大清帝國與大日本帝國簽訂《馬關條約》，將臺灣割讓予日本，臺灣軍民組織臺灣民主國力抗日本軍隊，1895年5月29日，日本北白川宮能久親王率領近衛師團大軍由澳底登陸，乙未戰爭正式開打，6月臺北開城投降，臺灣成為日本帝國的殖民地，開始了長達50年的日治時期，日軍於鹽寮登陸地立下...,"龍洞, 海濱公園",no,excluded,historical_monument_not_dive_site; 鹽寮抗日紀念碑為歷史紀念碑，非潛水地點；且官方未載明CRS,2026-09-24
ntpc-rev-013,358,C1_382000000A_110827,萬金自行車道,121.64583,25.22167,unconfirmed_not_documented,跟著青春海線騎進北海岸，萬金自行車道的起點於金山區的中角灣至終點萬里區的翡翠灣，全長約 15公里，鋪面為柏油、木棧道交錯而行，自行車道的路線沿著海岸及田園，沿途綠樹成蔭，從中角灣出發，沿途會經過磺清大橋、金山青年活動中心、水尾漁港等，有沙灘、海景，還有迷人的小漁村風光。騎累了可以就近泡溫泉，享受金山萬里的美湯、美景、美食。金山：中角灣&rarr;磺清大橋&rarr;金山青年活動中心&rarr;水尾漁港如果您喜歡年輕活力的水上活動，相信「金山萬里自行車道」金山線會是您不錯的選擇，可以到海水浴場或是沙灘上度過悠閒的午后；金山萬里自行車道金山線沿途會經過中角灣、磺港大橋、金山青年活動中心、水尾漁港等，騎累了可以在水尾漁港歇息，觀賞著名的「水尾泛月」（農曆十五夜間限定）。萬里：台電核二廠&rarr;...,跟著青春海線騎進北海岸，萬金自行車道的起點於金山區的中角灣至終點萬里區的翡翠灣，全長約 15公里，鋪面為柏油、木棧道交錯而行，自行車道的路線沿著海岸及田園，沿途綠樹成蔭，從中角灣出發，沿途會經過磺清大橋、金山青年活動中心、水尾漁港等，有沙灘、海景，還有迷人的小漁村風光。騎累了可以就近泡溫泉，享受金山萬里的美湯、美景、美...,海水浴場,no,excluded,bike_trail_not_dive_site; 萬金自行車道為陸域自行車專用道，非水域潛點；且官方未載明CRS,2026-09-24
ntpc-rev-014,359,C1_382000000A_110152,卯澳漁港,121.99152,25.01255,unconfirmed_not_documented,東北角傳統漁村風貌，延續保留百年石頭屋,位於東北角的卯澳是個有一百多年的古老漁村，因為北迴鐵路不經過此地，濱海公路又繞過村外，所以卯澳幸運的保存了傳統漁村風貌，也成為東北角最重要的文化資產。卯澳漁港位在三貂角的西側，右抱著萊萊山，左擁著荖蘭山，後方為狀若兔耳的山峰，三面被翠綠的山峰圍繞著，有著與世隔絕的環境。卯澳漁港還有一個特色，即是留存百年的石頭屋，早期平...,龍洞,no,excluded,fishing_harbor_not_dive_site; 卯澳漁港為作業漁港，非休閒潛點；且官方未載明CRS,2026-09-24
ntpc-rev-015,364,C1_382000000A_110454,富福頂山寺(貝殼廟),121.53965,25.23847,unconfirmed_not_documented,隱身於三芝橫山山區的富福頂山寺，又稱「三芝貝殼廟」或「十八羅漢洞」，主奉祀濟公活佛、十八羅漢及聖母娘娘等神像，廟宇內並設有近半人身高的琥珀大元寶，常吸引香客上山觸摸，香火極盛。，主祀濟公禪師，廟宇位於三芝圓山里二坪頂山上，隱藏於櫻花步道旁。廟宇內外裝潢，全部以貝殼及珊瑚堆砌拼貼而成，因此顯得極為富麗堂皇，猶如海底龍宮一般，長年吸引遊客前來上香，也被稱為「貝殼廟」，反而蓋過廟宇的原名。貝殼廟的創建極富傳奇色彩，落成至今已有十多年的歷史。廟宇創建前，現任住持曾在夜晚夢見濟公托夢，表示曾因故被囚禁在海底龍宮一段時間，希望住持可以興建一座類似的廟宇。然而早年臺灣的貝殼及珊瑚大多外銷至其他國家，價格昂貴，搜集不易，恰巧有位外銷貝殼珊瑚類飾品的貿易商也有類似的夢境，才將一批原本要運往日本的貝殼及珊瑚轉贈...,隱身於三芝橫山山區的富福頂山寺，又稱「三芝貝殼廟」或「十八羅漢洞」，主奉祀濟公活佛、十八羅漢及聖母娘娘等神像，廟宇內並設有近半人身高的琥珀大元寶，常吸引香客上山觸摸，香火極盛。，主祀濟公禪師，廟宇位於三芝圓山里二坪頂山上，隱藏於櫻花步道旁。廟宇內外裝潢，全部以貝殼及珊瑚堆砌拼貼而成，因此顯得極為富麗堂皇，猶如海底龍宮一...,珊瑚,no,excluded,inland_temple_not_dive_site; 富福頂山寺(貝殼廟)為山區廟宇建築(裝飾使用珊瑚貝殼)，非海域潛點；且官方未載明CRS,2026-09-24
ntpc-rev-016,394,C1_382000000A_110153,卯澳石頭古厝建築,121.98926,25.01328,unconfirmed_not_documented,卯澳的石頭厝是「就地取材」的典範，石材是來自海岸的砂岩，屋架取自後山的竹材，屋頂在過去多以野生茅草鋪成。卯澳的石頭厝大致可分成三種不同的格局與砌法，第一種型式為一條龍、亂石砌的格局，這是最普遍也最經濟的方式，牆面以大小相近的自然卵石或粗略打鑿過的石塊組砌而成，頗具粗獷之美。第二種型式是單伸手、水平砌的方式，先將石頭打鑿成高度相當的石條，再一層層水平疊砌而 成，牆面簡潔有序。第三種為三合院式的人字砌法建築型式，不論技巧、強度、費用都較高，牆面以加工過、大小等長的石塊斜倚約45度疊砌而成，灰縫曲折交織如 「人」字，頗具特色。,卯澳的石頭厝是「就地取材」的典範，石材是來自海岸的砂岩，屋架取自後山的竹材，屋頂在過去多以野生茅草鋪成。卯澳的石頭厝大致可分成三種不同的格局與砌法，第一種型式為一條龍、亂石砌的格局，這是最普遍也最經濟的方式，牆面以大小相近的自然卵石或粗略打鑿過的石塊組砌而成，頗具粗獷之美。第二種型式是單伸手、水平砌的方式，先將石頭打鑿...,龍洞,no,excluded,historic_architecture_not_dive_site; 卯澳石頭古厝為聚落建築文化景觀，非潛點；且官方未載明CRS,2026-09-24
ntpc-rev-017,400,C1_382000000A_302764,草嶺古道,121.92955,24.99984,unconfirmed_not_documented,途經新北及宜蘭交界，途經兩個重要石碑，而聲名遠播,草嶺古道是先民開闢淡蘭古道的其中一段，目前最為人知的是從新北市貢寮區遠望坑到宜蘭縣頭城鎮大里之間的山區路徑，全長八點五公里，路途經過新北市及宜蘭縣交界的草嶺，沿路經過兩個重要石碑，而讓這條「草嶺古道」聲名遠播。古道的鋪設，以南方築路技術為底，歷經日人拓寬、光復後各單位的重視，每年入秋後東北角管理處推廣芒花季，讓古道成為...,海水浴場,no,excluded,hiking_trail_not_dive_site; 草嶺古道為山區健行古道，非海域潛點；且官方未載明CRS,2026-09-24
ntpc-rev-018,408,C1_382000000A_110967,福隆車站,121.94472,25.01589,unconfirmed_not_documented,福隆是遊客夏日來北部出遊的熱門景點之一，最有名的就是便當與海水浴場，一出「福隆車站」就能看到四、五間便當店、單車店與海灘用品店，生意門庭若市。想挑戰「舊草嶺環狀自行車道」的單車遊客可以在這裡租車買便當，吃飽了再上路，出發前別忘了先做好防曬工作、買好補給水與點心喔！,福隆車站可能是台鐵最香的車站，一出車站就能聞到便當香味四溢，假日常可見到人人手中捧著一個個便當，直接在車站門口臺階上開懷大吃的有趣畫面。福隆是遊客夏日來北部出遊的熱門景點之一，早在日治時代，福隆就是一個著名的海水浴場，雙溪河在此入海，形成內河、外海的雙重景觀，彎月型拱橋連結兩處，內河河面寬廣、水流平穩，適合從事風帆、獨...,海水浴場,no,excluded,railway_station_not_dive_site; 福隆車站為陸上鐵路車站設施，非潛點；且官方未載明CRS,2026-09-24
ntpc-rev-019,409,C1_382000000A_403320,磺港公共浴室(黃金之湯),121.64406,25.22779,unconfirmed_not_documented,新北市金山區的溫泉屬大屯山地熱帶，而磺港公共浴室源泉湧出時為透明無色的泉質，經「台灣溫泉研究發展中心」證實為&quot;鐵泉&quot;，源泉湧出時為透明無色，泉中的鐵離子經接觸空氣氧化後呈金褐色泉質。此泉質在日本有「黃金之湯」的美譽，池底會產生鐵離子氧化後的沉積物，池面有礦物離子結合後的漂浮物 (在日本稱之為&quot;湯の花&quot;)，均為自然現象。戶外泡腳池溫泉採流放式，建議將原湯放涼至適溫後再浸泡，健康促進效果更佳。地點鄰近金山海水浴場、獅頭山公園及金山清水溼地，在踏完海水後，走到此處泡腳池歇息，欣賞空中乘風翱翔的老鷹和磺溪中捕食的水鳥，在金色的夕陽中浸泡著黃金之湯，享受沉靜之美。,新北市金山區的溫泉屬大屯山地熱帶，而磺港公共浴室源泉湧出時為透明無色的泉質，經「台灣溫泉研究發展中心」證實為&quot;鐵泉&quot;，源泉湧出時為透明無色，泉中的鐵離子經接觸空氣氧化後呈金褐色泉質。此泉質在日本有「黃金之湯」的美譽，池底會產生鐵離子氧化後的沉積物，池面有礦物離子結合後的漂浮物 (在日本稱之為&quo...,海水浴場,no,excluded,public_hot_spring_not_dive_site; 磺港公共浴室為公共溫泉設施，非海域潛點；且官方未載明CRS,2026-09-24
ntpc-rev-020,411,C1_382000000A_109778,金山青年活動中心,121.64199,25.22542,unconfirmed_not_documented,金山青年活動中心是救國團所屬，面積大、也有設立的活動中心，設施完善，有住宿、餐飲、會議中心、烤肉區、露營區、探索教育體驗區、美麗的海水浴場及佔地廣達1000坪的溫泉健身館。,金山青年活動中心位在北海岸的金山區，緊鄰金山水域遊憩區，是救國團所成立的第一個青年活動中心，同時也是面積最為廣闊的。活動中心內設有完善設施，包括烤肉區、露營區、溫泉館、會議中心、漆彈活動場、探索教育學習場、住宿及餐飲等設施，不僅可提供一般民眾使用，更是學生及公司團體的訓練研習的場所。金山青年活動中心環境清幽、依山傍海、...,海水浴場,no,excluded,youth_activity_center_not_dive_site; 金山青年活動中心為營地露營與研習設施，非潛水地點；且官方未載明CRS,2026-09-24
ntpc-rev-021,489,C1_382000000A_110154,馬崗潮間帶,122.00035,25.01594,unconfirmed_not_documented,探索潮間帶生態，沿途賞北海岸風貌,位於新北市貢寮區的馬崗漁港前的馬崗潮間帶，長寬各約百餘公尺，是臺灣海岸生長最多綠藻處，海蝕平臺表面相當平坦，地形屬於海蝕平台，也有許多小型的潮池和潮溝，適合以步行的方式近距離探索潮間帶生態。在潮池裡或石塊下，有小魚苗、海葵、蜑螺、鐘螺、珠螺、海兔、和螃蟹等等，還有緩慢移動的小寄居蟹們，低潮帶附近則有小杉苔、珊瑚藻、海葵...,"珊瑚, 龍洞",no,excluded,intertidal_walking_exploration_not_dive_site; 馬崗潮間帶為步行探索海蝕平台與潮池生態，內文提珊瑚藻生長，非浮潛/潛水地點；且官方未載明CRS,2026-09-24
ntpc-rev-022,505,C1_382000000A_110917,卯澳漁村,121.99164,25.01178,unconfirmed_not_documented,特有石頭古厝，保留傳統的漁撈技法,卯澳漁村位於東北角海邊，是三貂角附近的一個古老小漁村，能將遼闊的山海景緻盡收眼底。卯澳地名的由來，據說是從高處俯視灣澳，形似中國字「卯」，故而得名。百餘年來居民大都靠養殖九孔或捕魚維生，民風純樸。漁村最具特色的「石頭古厝」是就地取材的最佳典範，砂岩、竹材或茅草皆是築屋的元素，可從牆面砌法判斷屋主的經濟狀況。通常我們可由...,龍洞,no,excluded,fishing_village_not_dive_site; 卯澳漁村為濱海傳統聚落景觀，無浮潛/潛水地點定義；且官方未載明CRS,2026-09-24
